#37-1	N
Guatemalan	C
handful	C
of	N
corrupt	C
plutocrats	C
that	N
have	N
raped	N
[the	N
nation's]	N
economy	N
.	N
""""	N

#29-14	N
Martin	N
has	N
previously	C
criticized	C
the	N
Bush	N
family	N
during	N
his	N
2000	N
campaign	N
,	N
when	N
he	N
ran	N
television	N
ads	N
accusing	C
then-presidential	C
candidate	N
George	N
W	N
.	N
Bush	N
of	N
abusing	C
cocaine	C
and	N
alcohol	N
.	N

#15-8	N
The	N
presence	C
of	N
US	N
assets	C
""""	N
threatens	C
our	N
interests	N
and	N
our	N
security,	N
""""	N
according	N
to	N
Putin	N
.	N

#15-9	N
""""	N
It's	N
a	N
third	N
country	N
that	N
is	N
building	N
up	N
its	N
military	N
presence	C
on	N
our	N
borders	N
in	N
Europe,	N
""""	N
he	N
told	N
the	N
BBC	N
.	N

#15-11	N
Outgoing	C
US	N
President	N
Barack	N
Obama	N
authorised	C
the	N
move	N
in	N
response	C
to	N
Russian	N
intervention	C
in	N
Ukraine	C
in	N
2014	N
,	N
in	N
which	N
Crimea	C
was	N
annexed	C
.	N

#15-12	N
It	N
was	N
agreed	N
at	N
a	N
NATO	N
summit	C
in	N
Warsaw	N
last	N
year	N
.	N

#15-13	N
Tomasz	N
Szatkowski	N
,	N
Polish	N
Undersecretary	C
of	N
State	N
for	N
Defence	N
,	N
noted	N
""""	N
large	N
exercises	C
""""	N
by	N
Russia	N
near	N
the	N
Polish	N
border	N
as	N
another	N
reason	N
the	N
troops	C
were	N
needed	N
.	N

#15-14	N
Szatkowski	C
also	N
mentioned	C
Russian	N
action	N
in	N
Ukraine	N
,	N
which	N
he	N
called	N
""""	N
aggressive	C
actions	N
in	N
our	N
"vicinity"""	N
.	N

#15-15	N
Russian	N
Deputy	C
Foreign	N
Minister	N
Alexei	N
Mechkov	C
,	N
however	N
,	N
said	N
the	N
incoming	C
troops	N
and	N
vehicles	C
were	N
a	N
""""	N
factor	N
destabilising	C
European	N
"security"""	N
.	N

#28-9	N
His	N
most	N
recent	N
stint	C
behind	N
bars	N
came	N
last	N
month	N
,	N
when	N
he	N
was	N
arrested	C
for	N
allegedly	C
slamming	C
his	N
girlfriend's	N
head	N
into	N
a	N
refrigerator	C
in	N
the	N
same	N
home	N
involved	N
on	N
Saturday	N
.	N

#28-10	N
At	N
the	N
time	N
of	N
the	N
murders	C
,	N
Conley	N
was	N
wanted	N
on	N
an	N
assault	C
charge	N
against	N
a	N
family	N
member	N
.	N

#28-11	N
All	N
eight	N
victims	C
died	N
at	N
the	N
scene	C
.	N

#28-12	N
On	N
Sunday	N
,	N
authorities	C
released	C
the	N
names	N
and	N
ages	N
of	N
the	N
victims:	N
Valerie	N
Jackson	N
,	N
40	N
,	N
and	N
Dwayne	N
Jackson	N
,	N
her	N
husband	N
,	N
50;	N
Nathaniel	N
Jackson	N
,	N
13;	N
Honesty	C
Jackson	N
,	N
11;	N
Dwayne	N
Jackson	N
,	N
Jr.	N
,	N
10;	N
Caleb	N
Jackson	N
,	N
9;	N
Trinity	N
Jackson	N
,	N
7;	N
and	N
Jonah	N
Jackson	N
,	N
6	N
.	N

#28-14	N
Conley	N
told	N
investigators	C
he	N
used	N
to	N
live	N
with	N
Valerie	N
Jackson	N
and	N
broke	N
into	N
the	N
home	N
after	N
she	N
had	N
changed	N
the	N
locks	N
.	N

#39-16	N
""""	N
We	N
are	N
truly	N
sorry	N
about	N
[the]	N
tragedy	C
""""	N
they	N
told	N
us	N
in	N
a	N
statement	C
.	N

#39-17	N
They	N
said	N
they	N
have	N
checked	C
GPS	N
trackers	C
on	N
their	N
fleet	C
and	N
all	N
their	N
vehicles	C
remain	N
in	N
Slovakia	C
.	N

#39-18	N
The	N
statement	N
says	N
the	N
lorry	C
in	N
question	N
was	N
one	N
of	N
21	N
Hyza	C
vehicles	N
sold	N
on	N
last	N
year	N
.	N

#39-19	N
It	N
was	N
then	N
sold	N
again	N
and	N
exported	C
to	N
Hungary	N
,	N
where	N
it	N
is	N
now	N
registered	C
.	N

#39-20	N
Hyza	N
told	N
us	N
the	N
new	N
owners	N
have	N
not	N
changed	N
the	N
branding	C
on	N
the	N
vehicle	N
.	N

#39-21	N
According	N
to	N
the	N
Bild	C
newspaper	N
,	N
Agrofert	C
--	N
the	N
parent	C
company	N
of	N
Hyza	N
--	N
said	N
in	N
a	N
statement	C
the	N
new	N
owners	C
were	N
required	C
to	N
do	N
so	N
.	N

#39-22	N
Hyza	N
says	N
they	N
will	N
""""	N
actively	N
cooperate	C
with	N
Slovak	N
"police"""	N
,	N
and	N
""""	N
express	C
[their]	N
sincere	C
condolences	C
to	N
the	N
bereaved	C
families	N
.	N
""""	N

#39-23	N
Interior	N
Minister	N
Johanna	N
Mikl-Leitner	N
called	N
it	N
""""	N
a	N
dark	N
day	N
""""	N
and	N
called	N
for	N
European	N
Union-wide	C
measures	N
to	N
protect	N
immigrant	C
refugees	C
and	N
tackle	C
human	N
traffickers	C
.	N

#36-1	N
IndyCar	C
driver	N
Justin	N
Wilson	N
dies	N
aged	N
37	N
Yesterday	C
,	N
37-year	N
old	N
IndyCar	C
Series	N
driver	N
Justin	N
Wilson	N
died	N
of	N
injuries	C
sustained	C
on	N
Sunday	N
during	N
the	N
ABC	N
Supply	N
500	N
at	N
Pocono	N
Raceway	N
.	N

#36-2	N
With	N
about	N
twenty	N
laps	C
remaining	N
in	N
the	N
race	N
,	N
Sage	N
Karam	N
,	N
who	N
had	N
been	N
leading	C
the	N
event	N
,	N
crashed	C
into	N
the	N
turn	N
1	N
wall	N
.	N

#36-3	N
As	N
Wilson	N
approached	C
the	N
site	C
of	N
the	N
crash	C
,	N
reportedly	C
the	N
nose	N
cone	C
from	N
Karam's	N
car	N
that	N
had	N
been	N
airborne	C
struck	C
Wilson	N
in	N
the	N
helmet;	N
Wilson's	N
car	N
steered	C
to	N
the	N
left	N
and	N
collided	C
with	N
the	N
inside	N
SAFER	N
barrier	C
.	N

#36-4	N
The	N
event	N
was	N
placed	N
under	N
the	N
caution	C
flag	N
as	N
safety	N
workers	N
extracted	C
Wilson	N
from	N
his	N
car	N
.	N

#36-5	N
Wilson	N
was	N
airlifted	C
to	N
Lehigh	N
Valley	N
Hospital	N
in	N
Allentown	N
,	N
Pennsylvania	N
.	N

#36-6	N
At	N
9	N
P.M	N
.	N
EST	N
,	N
INDYCAR	N
released	N
a	N
statement	N
,	N
announcing	C
that	N
Wilson	N
had	N
suffered	C
a	N
severe	C
head	N
injury	N
,	N
was	N
in	N
critical	C
condition	N
and	N
had	N
fallen	N
into	N
a	N
coma	C
.	N
